Host Name,Mass (in Earth Mass),Radius (in Earth Radius),cluster
Kepler-37,3.1783,0.296,1
Kepler-38,122,4.3,1
Kepler-39,6388.383,13.899,0
Kepler-409,6,1.199,1
Kepler-41,174.8,9.98,1
Kepler-413,67,4.347,1
Kepler-414,3.5,1.71,1
Kepler-43,982.0947,12.498,3
Kepler-453,16,6.204,1
Kepler-46,1907,9.057,3
Kepler-47,636,3.03,3
Kepler-48,3.94,1.88,1
Kepler-55,43,2.58,1
Kepler-56,22.1,6.51,1
Kepler-74,216.12,14.8,1
Kepler-78,1.77,1.228,1
Kepler-84,40,1.95,1
Kepler-9,43.98767,7.74,1
Kepler-93,4.54426,1.569,1
Kepler-96,8.46,2.67,1
L 98-59,1.01,0.8,1
LHS 1140,6.65,1.43,1
LHS 1478,2.33,1.242,1
LHS 1678,0.35,0.696,1
LTT 1445 A,2.2,1.38,1
LTT 9779,29.32,4.72,1
Lupus-TR-3,257.431,9.976,1
NGTS-10,687.14846,13.507,3
NGTS-12,66.10864,11.747,1
NGTS-13,1538.2972,12.801,3
NGTS-14 A,29.24036,4.977,1
NGTS-15,238.68913,12.33,1
NGTS-16,211.99155,14.572,1
NGTS-17,242.8209,13.899,1
NGTS-20,947.12865,11.994,3
NGTS-21,750.07504,14.908,3
NGTS-23,194.82881,14.202,1
NGTS-24,165.27077,13.608,1
NGTS-25,203.09235,11.467,1
NGTS-3 A,756.4354,16.589,3
NGTS-4,20.6,3.18,1
NGTS-8,295.5819,12.218,1
OGLE-TR-10,359.1479,14.011,1
OGLE-TR-111,174.799,11.781,1
OGLE-TR-132,371.8611,13.776,1
OGLE-TR-182,320.995,12.666,1
OGLE-TR-211,327.351,15.244,1
OGLE-TR-56,410.0007,14.572,1
OGLE2-TR-L9,1379.3822,18.091,3
PH1,169,6.18,1
POTS-1,734.16,10.548,3
Qatar-6,212.31044,11.904,1
Qatar-8,117.91493,14.404,1
SWEEPS-11,3082.82,12.666,2
SWEEPS-4,1207.7,9.079,3
TIC 172900988 Aa,837,11.3,3
TIC 257060897,212.94503,16.701,1
TIC 279401253,1951.46642,11.209,3
TOI-1107,1064.72516,14.572,3
TOI-1201,6.28,2.415,1
TOI-1231,15.4,3.65,1
TOI-1235,5.9,1.694,1
TOI-125,9.5,2.726,1
TOI-1260,8.6,2.34,1
TOI-1266,13.5,2.37,1
TOI-1272,24.6,4.14,1
TOI-1278,5879.82553,12.218,0
TOI-1296,94.71287,13.798,1
TOI-1298,113.14691,9.427,1
TOI-1333,753.2571,15.648,3
TOI-1338 A,33,6.85,1
TOI-1422,9,3.96,1
TOI-1444,3.87,1.397,1
TOI-1468,3.21,1.28,1
TOI-1516,1004.33777,15.244,3
TOI-163,387.7526,16.69,1
TOI-1670,41.31769,2.06,1
TOI-1685,3.78,1.7,1
TOI-169,251.40353,12.173,1
TOI-1695,5.5,2.03,1
TOI-1696,56.6,3.24,1
TOI-1710,28.3,5.34,1
TOI-172,1722.6386,10.817,3
TOI-1749,57,1.39,1
TOI-1759,10.8,3.14,1
TOI-178,1.5,1.152,1
TOI-1789,222.47988,16.141,1
TOI-1820,731.00534,12.778,3
TOI-1937 A,638.8351,13.978,3
TOI-2025,1398.44499,12.52,3
TOI-2046,731.00534,16.141,3
TOI-2136,6.37,2.19,1
TOI-2152,899.45439,14.359,3
TOI-2154,292.40213,16.287,1
TOI-216,200,11.29,1
TOI-2180,875.61726,11.321,3
TOI-2184,206.58846,11.4,1
TOI-2196,26,3.51,1
TOI-2207,203.41018,11.153,1
TOI-2236,502.16888,14.37,1
TOI-2421,105.83686,10.368,1
TOI-2497,1531.93292,11.142,3
TOI-2498,34.62,6.06,1
TOI-257,43.86032,7.163,1
TOI-2583 A,79.4571,14.46,1
TOI-2587 A,69.28659,12.072,1
TOI-2589,1112.39942,12.106,3
TOI-2669,193.87533,19.728,1
TOI-269,8.8,2.77,1
TOI-2803 A,309.8827,18.114,1
TOI-2977,533.95172,13.159,1
TOI-3331 A,721.47048,12.98,3
TOI-3540 A,375.03752,23.539,1
TOI-3688 A,311.47184,13.081,1
TOI-3693,324.18498,12.599,1
TOI-3757,85.3,12,1
TOI-3807,330.54154,18.495,1
TOI-3819,352.78953,13.137,1
TOI-3884,16.5,6,1
TOI-3912,129.03833,14.28,1
TOI-4087,232.01474,13.047,1
TOI-4137,457.67291,13.574,1
TOI-519,4449.62,11.994,2
TOI-5205,343,11.6,1
TOI-5542,419.5335,11.31,1
TOI-558,1147.36055,12.173,3
TOI-561,2,1.425,1
TOI-628,2011.8639,11.882,3
TOI-640,279.6904,19.851,1
TOI-733,5.72,1.992,1
TOI-763,9.79,2.28,1
TOI-778,878,15.4,3
TOI-824,18.467,2.926,1
TOI-836,4.53,1.704,1
TOI-837,381.396,8.631,1
TOI-892,301.9385,11.994,1
TOI-954,55.30242,9.55,1
TRAPPIST-1,0.85,1.086,1
TrES-3,603.55917,14.684,3
TrES-4,157.00802,20.602,1
V1298 Tau,203.41018,9.729,1
WASP-100,638.8383,18.943,3
WASP-101,157.96151,15.805,1
WASP-107,38.1396,10.626,1
WASP-11,154.777,11.265,1
WASP-110,162.09249,13.877,1
WASP-114,562.24127,15.009,3
WASP-118,163.36462,16.141,1
WASP-13,158.915,15.771,1
WASP-140,775.5052,16.141,3
WASP-141,854.9627,13.563,3
WASP-147,87.40325,12.498,1
WASP-148,92.48853,8.093,1
WASP-15,175.12433,15.457,1
WASP-163,594.3421,13.473,3
WASP-165,209.13214,14.123,1
WASP-172,149.3801,17.598,1
WASP-173 A,1172.7927,13.451,3
WASP-18,3299.0754,13.036,2
WASP-185,311.4734,14.011,1
WASP-189,632.47853,18.147,3
WASP-20,120.13974,14.348,1
WASP-21,95.345,11.99,1
WASP-22,212.9461,13.787,1
WASP-29,77.55052,8.698,1
WASP-3,645.1949,15.872,3
WASP-32,1144.188,13.339,3
WASP-36,729.41985,14.908,3
WASP-38,858.1,12.3,3
WASP-39,88.9924,14.235,1
WASP-4,375.0394,14.908,1
WASP-44,279.05474,12.778,1
WASP-47,383,12.9,1
WASP-48,254.264,16.814,1
WASP-49,120.135,12.498,1
WASP-56,190.38017,12.24,1
WASP-57,204.68252,11.769,1
WASP-59,274.276,8.687,1
WASP-6,158.915,13.675,1
WASP-61,651.5515,13.899,3
WASP-64,388.07043,14.247,1
WASP-66,753.2571,15.581,3
WASP-68,343.2564,14.796,1
WASP-69,79.4575,11.848,1
WASP-70 A,187.512,13.047,1
WASP-72,459.58218,14.235,1
WASP-74,301.9385,17.486,1
WASP-77 A,560.33429,13.563,3
WASP-78,282.857,19.055,1
WASP-79,267.93069,20.4,1
WASP-8,807.2882,12.666,3
WASP-83,95.349,11.657,1
WASP-84,220.565,10.559,1
WASP-90,200.2329,18.271,1
WASP-95,457.6752,13.787,1
WASP-97,419.52,12.67,1
WASP-98,263.79,12.33,1
WASP-99,883.53,12.33,3
WD 1856+534,4386.054,10.4,2
WISEP J121756.91+162640.2 A,6992,10.468,0
WTS-1,1274.44,16.7,3
WTS-2,403.6441,15.278,1
Wendelstein-2,232.33373,12.993,1
XO-3,3747.06,13.641,2
XO-4,512.34196,15.02,1
